Title,Runtime,Release Date,IMDB Rating,Critics Score,Votes,Gross
The Godfather,175,1972,9.2,10.0,1735323,134966411
Star Wars: Episode IV - A New Hope,121,1977,8.6,9.0,1296194,322740140
The Godfather: Part II,202,1974,9.0,9.0,1204159,57300000
One Flew Over the Cuckoo's Nest,133,1975,8.7,8.4,966954,112000000
Alien,117,1979,8.4,8.9,837317,78900000
A Clockwork Orange,136,1971,8.3,7.7,796652,6207725
Taxi Driver,114,1976,8.2,9.4,775865,28262574
"The Good, the Bad and the Ugly",148,1966,8.8,9.0,728851,6100000
Psycho,109,1960,8.5,9.7,641236,32000000
2001: A Space Odyssey,149,1968,8.3,8.4,639783,56954992
Apocalypse Now,147,1979,8.4,9.4,639456,83471511
Jaws,124,1975,8.0,8.7,571558,260000000
Rocky,120,1976,8.1,7.0,548592,117235247
Monty Python and the Holy Grail,91,1975,8.2,9.1,523924,1229197
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,95,1964,8.4,9.7,473151,275902
Life of Brian,94,1979,8.1,7.7,386607,20045115
The Exorcist,122,1973,8.0,8.1,383148,232906145
The Deer Hunter,183,1978,8.1,8.6,328529,48979328
Once Upon a Time in the West,165,1968,8.5,8.0,318500,5321508
Chinatown,130,1974,8.2,9.2,313899,8486653
To Kill a Mockingbird,129,1962,8.2,8.8,307476,0
Lawrence of Arabia,228,1962,8.3,10.0,283349,44824144
The Graduate,106,1967,8.0,8.3,265944,104945305
Halloween,91,1978,7.7,8.7,261028,47000000
Annie Hall,93,1977,8.0,9.2,260091,39200000
Grease,110,1978,7.2,7.0,258066,188755690
The Sting,129,1973,8.3,8.3,253538,159600000
Dog Day Afternoon,125,1975,8.0,8.6,248681,50000000
For a Few Dollars More,132,1965,8.2,7.4,247108,15000000
The Great Escape,172,1963,8.2,8.6,236855,12100000
The Sound of Music,172,1965,8.0,6.3,220504,163214286
Butch Cassidy and the Sundance Kid,110,1969,8.0,6.6,210938,102308889
A Fistful of Dollars,99,1964,8.0,6.5,209689,14500000
Rosemary's Baby,137,1968,8.0,9.6,207104,0
Rocky II,119,1979,7.3,6.1,202081,6390537
Mad Max,88,1979,6.9,7.3,201013,8750000
Close Encounters of the Third Kind,138,1977,7.6,9.0,195100,132088635
Willy Wonka & the Chocolate Factory,100,1971,7.8,6.7,192328,4000000
Goldfinger,110,1964,7.7,8.7,184255,51081062
The Birds,119,1963,7.7,9.0,182253,11403529
Carrie,98,1976,7.4,8.5,179351,33800000
The Jungle Book,78,1967,7.6,6.5,175310,141843612
The Apartment,125,1960,8.3,9.4,174906,18600000
Breakfast at Tiffany's,115,1961,7.6,7.6,174797,0
Planet of the Apes,112,1968,8.0,7.9,174418,33395426
Cool Hand Luke,127,1967,8.1,9.2,172054,16217773
Superman,143,1978,7.3,8.1,168991,134218018
Mary Poppins,139,1964,7.8,8.8,166516,102272727
101 Dalmatians,79,1961,7.3,8.3,162094,144880014
Barry Lyndon,185,1975,8.1,8.9,160888,0
Dr. No,110,1962,7.2,7.8,160613,16067035
Network,121,1976,8.1,8.3,154130,0
Young Frankenstein,106,1974,8.0,8.0,153533,86300000
Dirty Harry,102,1971,7.7,8.7,151252,35900000
The Texas Chain Saw Massacre,83,1974,7.5,7.8,150216,30859000
The Rocky Horror Picture Show,100,1975,7.4,6.5,144722,139876417
Kramer vs. Kramer,105,1979,7.8,7.7,140885,106260000
Manhattan,96,1979,7.9,8.3,137570,45700000
Blazing Saddles,93,1974,7.7,7.3,133932,119500000
Spartacus,197,1960,7.9,8.7,131390,30000000
From Russia with Love,115,1963,7.4,8.3,129411,24796765
Escape from Alcatraz,112,1979,7.6,7.6,129120,43000000
Stalker,162,1979,8.1,7.6,128778,234723
Papillon,151,1973,8.0,5.8,127484,53267000
Night of the Living Dead,96,1968,7.9,8.9,124140,89029
Robin Hood,83,1973,7.6,5.7,122457,32056467
Yojimbo,110,1961,8.2,9.3,118857,0
Serpico,113,1973,7.7,8.7,118508,29800000
National Lampoon's Animal House,109,1978,7.5,7.9,117967,201747
The French Connection,104,1971,7.7,9.4,117836,15630710
Dawn of the Dead,127,1978,7.9,7.1,117393,5100000
Federico Fellini's 8½,138,1963,8.0,9.1,114836,50690
The Omen,111,1976,7.5,6.2,114649,4273886
Thunderball,130,1965,7.0,6.4,114238,63600000
Persona,85,1966,8.1,8.6,112821,0
Eraserhead,89,1977,7.4,8.7,111360,7000000
All the President's Men,138,1976,8.0,8.4,111209,70600000
Bonnie and Clyde,111,1967,7.8,8.6,109400,0
Midnight Cowboy,113,1969,7.8,7.9,107815,44785053
The Conversation,113,1974,7.8,8.5,107517,4420000
West Side Story,153,1961,7.5,8.6,107055,43656822
Easy Rider,95,1969,7.3,8.5,107045,41728598
Mean Streets,112,1973,7.2,9.6,106097,3132645
You Only Live Twice,117,1967,6.8,6.1,105749,43084787
The Spy Who Loved Me,125,1977,7.1,5.5,105298,46800000
Deliverance,109,1972,7.7,8.0,104810,7056013
Live and Let Die,121,1973,6.8,5.5,104031,35377836
Diamonds Are Forever,120,1971,6.6,5.9,102977,43819547
The Man with the Golden Gun,125,1974,6.7,4.3,102268,20972000
Enter The Dragon,102,1973,7.7,8.3,102015,25000000
The AristoCats,78,1970,7.1,6.6,100073,37675257
Patton,172,1970,7.9,9.1,99687,61700000
The Warriors,92,1979,7.6,6.5,99489,22490039
Lolita,153,1962,7.5,7.9,98230,9250000
Moonraker,126,1979,6.3,6.6,97633,70308099
The Sword in the Stone,79,1963,7.2,6.1,94725,22182353
My Fair Lady,170,1964,7.8,9.5,92520,72000000
The Magnificent Seven,128,1960,7.7,7.4,92473,4905000
Suspiria,99,1977,7.4,7.9,88925,0
On Her Majesty's Secret Service,142,1969,6.7,6.1,88186,22800000
Solaris,167,1972,8.0,9.0,88060,0
Star Trek: The Motion Picture,132,1979,6.4,4.8,87209,82258456
American Graffiti,110,1973,7.4,9.7,86917,115000000
The Wild Bunch,145,1969,7.9,9.7,82428,12064472
The Hustler,134,1961,8.0,9.0,80107,8284000
Breathless,90,1960,7.8,9.0,78452,336705
The Wicker Man,88,1973,7.5,8.7,77742,60891
Midnight Express,121,1978,7.6,5.9,77628,35000000
Saturday Night Fever,118,1977,6.8,7.7,77231,94213184
Jaws 2,116,1978,5.8,5.1,76072,102922376
Harold and Maude,91,1971,7.9,6.2,75679,0
Judgment at Nuremberg,179,1961,8.2,6.0,74765,0
Charade,113,1963,7.9,8.3,74271,13474588
The Manchurian Candidate,126,1962,7.9,9.4,74192,0
Doctor Zhivago,193,1965,8.0,6.9,74180,111722000
The Man Who Shot Liberty Valance,123,1962,8.1,9.4,73573,0
Who's Afraid of Virginia Woolf?,131,1966,8.0,7.5,73433,0
In the Heat of the Night,110,1967,7.9,7.5,71724,24379978
The Outlaw Josey Wales,135,1976,7.8,6.9,71105,31800000
M.A.S.H.,116,1970,7.4,8.0,70960,81600000
La Dolce Vita,174,1960,8.0,9.5,70862,19516000
The Dirty Dozen,150,1967,7.7,7.3,70846,45300000
Badlands,94,1973,7.8,9.3,70777,0
Being There,130,1979,8.0,8.3,70640,30177511
Bullitt,114,1968,7.4,8.1,66490,42300873
Soylent Green,97,1973,7.1,6.6,62209,7920000
The Rescuers,78,1977,6.9,7.4,61906,71215869
Marathon Man,125,1976,7.4,6.4,61606,21709020
Blow-Up,111,1966,7.6,8.2,60003,0
Murder on the Orient Express,128,1974,7.3,6.3,60001,72034
Magnum Force,124,1973,7.2,5.8,59809,4564304
Straw Dogs,113,1971,7.5,7.3,58882,0
"Salò, or the 120 Days of Sodom",117,1975,5.9,7.3,57980,0
Invasion of the Body Snatchers,115,1978,7.4,7.5,57835,24946533
The Battle of Algiers,121,1966,8.1,9.6,57813,55908
Where Eagles Dare,158,1968,7.6,6.3,56589,0
Days of Heaven,94,1978,7.8,9.3,56380,0
The Jerk,94,1979,7.2,6.1,56243,73691419
Westworld,88,1973,7.0,7.7,55994,16055700
"Aguirre, the Wrath of God",95,1972,7.9,7.7,55529,0
A Bridge Too Far,175,1977,7.4,6.3,55329,50800000
Logan's Run,119,1976,6.8,5.3,54786,25000000
The Producers,88,1967,7.6,9.6,54648,111866
The Longest Day,178,1962,7.8,7.5,54455,39100000
Sholay,204,1975,8.2,7.5,54263,0
Don't Look Now,110,1973,7.2,9.5,53963,979337
What Ever Happened to Baby Jane?,134,1962,8.1,7.5,53799,4050000
High Plains Drifter,105,1973,7.5,6.9,53444,15700000
Three Days of the Condor,117,1975,7.4,6.3,52887,41509797
Cabaret,124,1972,7.8,8.0,52784,42765000
Last Tango in Paris,129,1972,7.0,7.7,52527,36144824
Repulsion,105,1965,7.7,9.1,51908,0
Andrei Rublev,205,1966,8.1,9.1,51821,102021
Harakiri,133,1962,8.6,8.5,51211,0
The Pink Panther,115,1963,7.1,5.5,51039,10878107
THX 1138,86,1971,6.7,7.5,50425,2437000
Le Samouraï,105,1967,8.1,7.5,49324,39481
The Guns of Navarone,158,1961,7.5,7.2,49133,28900000
Smokey and the Bandit,96,1977,7.0,5.0,48762,126737428
Assault on Precinct 13,91,1976,7.4,8.9,48396,0
Kelly's Heroes,144,1970,7.6,5.0,48036,1378435
Marnie,130,1964,7.1,7.3,47880,7000000
The Man Who Would Be King,129,1975,7.8,9.1,47755,0
Sleuth,138,1972,8.0,9.1,46857,4081254
The Message,177,1976,8.2,9.1,46231,0
True Grit,128,1969,7.4,8.3,46161,31132592
The Last Picture Show,118,1971,8.0,9.3,45890,29133000
Beneath the Planet of the Apes,95,1970,6.1,4.6,45637,18999718
Paper Moon,102,1973,8.1,7.7,45374,30933743
The Italian Job,99,1969,7.3,7.0,45093,0
Chitty Chitty Bang Bang,144,1968,6.9,6.4,44559,7500000
Mirror,107,1975,8.1,8.0,44355,177345
The Enforcer,96,1976,6.7,5.8,44320,46200000
Frenzy,116,1972,7.4,9.2,44224,12600000
A Hard Day's Night,87,1964,7.6,9.6,43978,13780024
The Poseidon Adventure,117,1972,7.1,7.0,43645,84563118
Belle de Jour,100,1967,7.7,7.0,42993,26331
Fahrenheit 451,112,1966,7.2,7.0,42790,0
Guess Who's Coming to Dinner,108,1967,7.8,6.3,42769,56700000
The Tenant,126,1976,7.6,7.1,42707,1924733
Sleeper,89,1973,7.2,7.7,42455,2905334
Amarcord,123,1973,7.9,7.7,42383,581746
The Towering Inferno,165,1974,7.0,6.9,42356,116000000
Fiddler on the Roof,181,1971,8.0,6.7,42286,80500000
The Discreet Charm of the Bourgeoisie,102,1972,7.9,9.3,41658,198809
The Holy Mountain,114,1973,7.9,7.6,41059,61001
High and Low,143,1963,8.4,7.6,41016,0
It's a Mad Mad Mad Mad World,210,1963,7.5,5.9,40439,46300000
Jules and Jim,105,1962,7.8,9.7,40181,0
The Party,99,1968,7.5,9.7,39961,0
The Day of the Jackal,143,1973,7.8,8.0,39807,16056255
The Time Machine,103,1960,7.6,6.7,39722,0
Hababam Sinifi,87,1975,9.3,6.7,39485,0
Everything You Always Wanted to Know About Sex * But Were Afraid to Ask,88,1972,6.8,6.6,39343,0
Drunken Master,111,1978,7.5,6.8,39072,0
Black Christmas,98,1974,7.2,6.5,39049,4053000
The Haunting,112,1963,7.5,7.4,38482,2616000
The Amityville Horror,117,1979,6.2,2.8,38324,86432520
Death Wish,93,1974,7.0,5.1,38314,22000000
Zulu,138,1964,7.7,7.7,38213,0
Hang 'Em High,114,1968,7.0,6.2,37933,0
Up in Smoke,86,1978,6.9,5.7,37819,44364244
Love and Death,85,1975,7.7,8.9,37798,0
Oliver!,153,1968,7.4,7.4,37228,16800000
Sanjuro,96,1962,8.1,7.4,37120,0
Hair,121,1979,7.6,6.8,36864,15284463
Murder by Death,95,1976,7.4,6.2,36629,0
Bedknobs and Broomsticks,117,1971,7.1,5.9,36424,18530000
Slap Shot,123,1977,7.3,6.1,36401,28000000
Picnic at Hanging Rock,115,1975,7.5,8.1,36330,232201
Deep Red,127,1975,7.6,8.9,36323,0
The Last House on the Left,84,1972,6.0,6.8,36318,3100000
The Andromeda Strain,131,1971,7.2,6.0,36000,3421790
Manos: The Hands of Fate,70,1966,1.8,6.0,35932,0
Way of the Dragon,99,1972,7.3,5.8,35894,4061613
Five Easy Pieces,98,1970,7.4,8.5,35779,19402000
Watership Down,91,1978,7.6,6.4,35663,0
Phantasm,89,1979,6.7,7.2,35592,11988469
Bananas,82,1971,7.0,6.7,35304,11800000
The Muppet Movie,95,1979,7.6,7.4,35099,76657000
Caligula,137,1979,5.4,7.4,35094,23438120
The Many Adventures of Winnie the Pooh,74,1977,7.6,7.4,34988,0
Ivan's Childhood,95,1962,8.1,7.4,34984,0
Nosferatu the Vampyre,107,1979,7.5,7.9,34960,0
Little Big Man,139,1970,7.6,6.3,34519,31559552
Escape from the Planet of the Apes,98,1971,6.3,6.9,34271,12300000
Barbarella,98,1968,5.9,5.1,34215,0
Peeping Tom,101,1960,7.7,5.1,34046,83957
The Odd Couple,105,1968,7.7,8.6,34024,44527234
A Man for All Seasons,120,1966,7.7,7.2,33688,28350000
A Fistful of Dynamite,157,1971,7.6,7.7,33581,696690
Tora! Tora! Tora!,144,1970,7.5,4.6,33512,29548291
The Hills Have Eyes,90,1977,6.3,6.4,33484,25000000
...and justice for all.,119,1979,7.4,5.8,33318,0
Love Story,100,1970,6.9,8.4,33202,106400000
Anand,122,1971,8.2,8.4,33116,0
1941,118,1979,5.8,3.4,32953,31755742
Cries and Whispers,91,1972,8.1,3.4,32928,1742348
Autumn Sonata,92,1978,8.2,3.4,32540,0
Get Carter,112,1971,7.4,8.0,32400,389650
The Lord of the Rings,132,1978,6.2,8.0,32342,921769
Pierrot le Fou,110,1965,7.6,8.0,32283,0
The Exterminating Angel,95,1962,8.1,8.0,32274,0
Conquest of the Planet of the Apes,88,1972,6.1,4.9,31932,9810000
King Kong,134,1976,5.9,6.1,31846,52614445
Cleopatra,192,1963,7.0,6.0,31808,57777778
Omen II: Damien,107,1978,6.3,4.5,31354,3880880
Batman: The Movie,105,1966,6.5,7.1,31326,0
The Getaway,123,1972,7.4,5.5,31264,36734619
Death on the Nile,140,1978,7.3,5.9,31210,0
