,Title,Runtime,Release Date,IMDB Rating,Critics Score,Votes,Gross
0,12 Angry Men,96 min,(1957),9.0,96,744271,4360000
1,Casablanca,102 min,(1942),8.5,100,550299,1024560
2,Rear Window,112 min,(1954),8.5,100,472429,36764313
3,It's a Wonderful Life,130 min,(1946),8.6,89,436536,none
4,Citizen Kane,119 min,(1941),8.3,100,427836,1585634
5,Vertigo,128 min,(1958),8.3,100,387905,3200000
6,Seven Samurai,207 min,(1954),8.6,98,333450,269061
7,North by Northwest,136 min,(1959),8.3,98,316628,13275000
8,Some Like It Hot,121 min,(1959),8.2,98,257828,25000000
9,Singin' in the Rain,103 min,(1952),8.3,99,232444,8819028
10,Ben-Hur,212 min,(1959),8.1,90,231427,74700000
11,The Great Dictator,125 min,(1940),8.4,90,216119,288475
12,Sunset Blvd.,110 min,(1950),8.4,90,214065,none
13,The Bridge on the River Kwai,161 min,(1957),8.1,87,213792,44908000
14,Paths of Glory,88 min,(1957),8.4,90,189856,none
15,The Seventh Seal,96 min,(1957),8.2,88,178281,none
16,Dial M for Murder,105 min,(1954),8.2,75,169266,12562
17,The Third Man,104 min,(1949),8.1,97,167216,449191
18,Rashomon,88 min,(1950),8.2,98,162426,96568
19,Bicycle Thieves,89 min,(1948),8.3,98,157961,332930
20,The Maltese Falcon,100 min,(1941),8.0,97,154991,2108060
21,Cinderella,74 min,(1950),7.3,85,154013,85000000
22,Double Indemnity,107 min,(1944),8.3,95,151860,5720000
23,On the Waterfront,108 min,(1954),8.1,91,150288,9600000
24,Sleeping Beauty,75 min,(1959),7.2,85,143698,51600000
25,Pinocchio,88 min,(1940),7.4,99,139200,84254167
26,Rope,80 min,(1948),8.0,73,138307,none
27,Bambi,70 min,(1942),7.3,91,138116,102797150
28,Alice in Wonderland,75 min,(1951),7.4,68,136423,1073014
29,Roman Holiday,118 min,(1953),8.0,78,134824,none
30,Peter Pan,77 min,(1953),7.3,76,134272,87404651
31,Rebecca,130 min,(1940),8.1,86,132834,4360000
32,Strangers on a Train,101 min,(1951),8.0,88,130730,7630000
33,Lady and the Tramp,76 min,(1955),7.3,78,130396,93600000
34,All About Eve,138 min,(1950),8.2,98,127580,10177
35,Dumbo,64 min,(1941),7.2,96,127404,1600000
36,The Treasure of the Sierra Madre,126 min,(1948),8.2,98,121282,5014000
37,Witness for the Prosecution,116 min,(1957),8.4,98,119112,8175000
38,The 400 Blows,92 min,(1959),8.1,98,113216,none
39,A Streetcar Named Desire,122 min,(1951),8.0,97,105206,8000000
40,Wild Strawberries,91 min,(1957),8.2,88,103732,none
41,Touch of Evil,95 min,(1958),8.0,99,102445,2237659
42,High Noon,85 min,(1952),8.0,89,101868,9450000
43,Notorious,102 min,(1946),8.0,100,98476,10464000
44,Fantasia,125 min,(1940),7.7,96,93166,76408097
45,The Grapes of Wrath,129 min,(1940),8.1,96,90144,55000
46,Rebel Without a Cause,111 min,(1955),7.7,89,88017,none
47,The Killing,84 min,(1956),8.0,91,86894,none
48,The Night of the Hunter,92 min,(1955),8.0,99,86675,654000
49,The Searchers,119 min,(1956),7.9,94,86275,none
50,The Big Sleep,114 min,(1946),7.9,94,83604,6540000
51,The Day the Earth Stood Still,92 min,(1951),7.7,94,80302,none
52,The African Queen,105 min,(1951),7.8,91,76850,536118
53,Ikiru,143 min,(1952),8.3,91,75067,55240
54,To Catch a Thief,106 min,(1955),7.4,82,70517,8750000
55,Arsenic and Old Lace,118 min,(1943),8.0,82,69364,none
56,The Ten Commandments,220 min,(1956),7.9,82,68082,93740000
57,The Philadelphia Story,112 min,(1940),7.9,96,67167,none
58,Les Diaboliques,117 min,(1955),8.1,96,64574,1090000
59,Anatomy of a Murder,161 min,(1959),8.0,95,64312,11900000
60,Shadow of a Doubt,108 min,(1943),7.8,94,63504,none
61,Sabrina,113 min,(1954),7.6,72,63018,none
62,The Man Who Knew Too Much,120 min,(1956),7.4,76,62455,10250000
63,The Best Years of Our Lives,170 min,(1946),8.1,93,61687,23650000
64,La Strada,108 min,(1954),8.0,93,61591,none
65,Rio Bravo,141 min,(1959),8.0,93,60167,12535000
66,The Wages of Fear,131 min,(1953),8.1,85,59004,none
67,Tokyo Story,136 min,(1953),8.2,85,58869,none
68,His Girl Friday,92 min,(1940),7.9,85,56956,296000
69,Stalag 17,120 min,(1953),8.0,84,54677,none
70,Harvey,104 min,(1950),7.9,84,54564,none
71,Throne of Blood,110 min,(1957),8.1,84,50470,none
72,Invasion of the Body Snatchers,80 min,(1956),7.7,92,48064,none
73,Cat on a Hot Tin Roof,108 min,(1958),8.0,84,47942,17570324
74,Forbidden Planet,98 min,(1956),7.6,84,47780,3000000
75,Spellbound,111 min,(1945),7.5,79,47337,7000000
76,Nights of Cabiria,110 min,(1957),8.1,79,47119,752045
77,Miracle on 34th Street,96 min,(1947),7.9,88,46876,2650000
78,From Here to Eternity,118 min,(1953),7.6,85,45832,30500000
79,Laura,88 min,(1944),8.0,85,45806,4360000
80,East of Eden,118 min,(1955),7.9,72,44213,none
81,White Christmas,120 min,(1954),7.6,56,41945,30000000
82,Key Largo,100 min,(1948),7.8,56,39644,none
83,Shane,118 min,(1953),7.6,80,39444,20000000
84,Brief Encounter,86 min,(1945),8.0,92,38718,none
85,Plan 9 from Outer Space,79 min,(1957),4.0,92,37909,none
86,The Hidden Fortress,139 min,(1958),8.1,89,37807,none
87,The Seven Year Itch,105 min,(1955),7.1,89,37557,12000000
88,Giant,201 min,(1956),7.6,84,37501,none
89,The Quiet Man,129 min,(1952),7.8,85,37279,10550000
90,The Trouble with Harry,99 min,(1955),7.1,74,37256,none
91,Suspicion,99 min,(1941),7.3,83,37037,4500000
92,Kind Hearts and Coronets,106 min,(1949),8.0,83,36506,none
93,The Lost Weekend,101 min,(1945),7.9,83,35840,9460000
94,Out of the Past,97 min,(1947),8.0,83,35839,none
95,Gentlemen Prefer Blondes,91 min,(1953),7.2,83,35579,12000000
96,To Be or Not to Be,99 min,(1942),8.2,86,34808,none
97,The War of the Worlds,85 min,(1953),7.1,78,34642,4360000
98,Ace in the Hole,111 min,(1951),8.1,72,34563,3969893
99,The Red Shoes,135 min,(1948),8.1,72,33641,10900000
100,To Have and Have Not,100 min,(1944),7.8,90,33536,none
101,Rififi,118 min,(1955),8.1,97,33121,57226
102,"20,000 Leagues Under the Sea",127 min,(1954),7.2,83,32733,28200000
103,An American in Paris,114 min,(1951),7.2,83,32687,4500000
104,Godzilla,96 min,(1954),7.6,78,32552,2423423
105,White Heat,114 min,(1949),8.1,78,31925,none
106,The Shop Around the Corner,99 min,(1940),8.1,96,31767,203300
107,Gilda,110 min,(1946),7.6,96,31354,none
108,Hiroshima Mon Amour,90 min,(1959),7.9,96,30676,88300
109,Sweet Smell of Success,96 min,(1957),8.0,100,30615,none
110,Red River,133 min,(1948),7.8,100,30197,none
111,In a Lonely Place,94 min,(1950),8.0,100,30018,none
112,Pather Panchali,125 min,(1955),8.4,100,29934,536364
113,An Affair to Remember,115 min,(1957),7.5,100,29699,none
114,Funny Face,103 min,(1957),7.0,100,29322,none
115,The Lady from Shanghai,87 min,(1947),7.6,100,29320,7927
116,Creature from the Black Lagoon,79 min,(1954),7.0,68,29242,1300000
117,The Thing from Another World,87 min,(1951),7.1,68,29057,none
118,The Ladykillers,91 min,(1955),7.7,91,28597,none
119,Lifeboat,97 min,(1944),7.6,78,28176,none
120,The Wrong Man,105 min,(1956),7.4,83,27633,none
121,Gaslight,114 min,(1944),7.8,83,27222,none
122,The Caine Mutiny,125 min,(1954),7.7,63,27022,21750000
123,Around the World in 80 Days,167 min,(1956),6.8,63,26471,42000000
124,House on Haunted Hill,75 min,(1959),6.8,63,26286,none
125,The Wolf Man,70 min,(1941),7.3,72,26084,none
126,The Asphalt Jungle,112 min,(1950),7.9,72,25945,none
127,The Big Heat,89 min,(1953),7.9,72,25889,none
128,La Belle et la B̻te,96 min,(1946),7.9,92,25873,298718
129,The Stranger,95 min,(1946),7.4,76,25811,none
130,Sullivan's Travels,90 min,(1941),7.9,76,25714,none
131,"Rome, Open City",103 min,(1945),8.1,76,25540,none
132,The Blob,86 min,(1958),6.4,58,25456,none
133,The King and I,133 min,(1956),7.4,72,25402,21300000
134,Saboteur,109 min,(1942),7.2,64,25083,none
135,Umberto D.,89 min,(1952),8.2,92,24997,74308
136,Mildred Pierce,111 min,(1945),8.0,88,24881,none
137,Lift to the Scaffold,91 min,(1958),7.9,94,24340,109257
138,Seven Brides for Seven Brothers,102 min,(1954),7.4,75,24249,9403000
139,Dracula,82 min,(1958),7.3,67,24217,none
140,The Magnificent Ambersons,88 min,(1942),7.7,93,24181,none
141,Black Narcissus,101 min,(1947),7.8,86,23969,none
142,Great Expectations,118 min,(1946),7.8,90,23673,none
143,Meet Me In St. Louis,113 min,(1944),7.6,94,23577,7566000
144,Marty,90 min,(1955),7.7,94,23409,none
145,How Green Was My Valley,118 min,(1941),7.7,88,23333,none
146,Killer's Kiss,67 min,(1955),6.6,88,23115,none
147,My Darling Clementine,102 min,(1946),7.8,88,22974,none
148,Ugetsu Monogatari,96 min,(1953),8.2,88,22672,11197
149,The Ox-Bow Incident,75 min,(1942),8.0,88,22645,1635000
150,The Fly,94 min,(1958),7.1,88,22500,3000000
151,Scrooge,86 min,(1951),8.1,88,22496,none
152,Gigi,115 min,(1958),6.7,82,22207,none
153,Cat People,73 min,(1942),7.3,82,21963,4000000
154,A Place in the Sun,122 min,(1951),7.8,76,21926,none
155,How to Marry a Millionaire,95 min,(1953),6.9,76,21864,none
156,Pickpocket,76 min,(1959),7.7,76,21530,none
157,Mon Oncle,120 min,(1958),7.8,76,21442,none
158,Them!,94 min,(1954),7.2,76,21418,none
159,A Matter of Life and Death,104 min,(1946),8.1,76,21331,none
160,A Man Escaped,101 min,(1956),8.3,76,21053,none
161,Bad Day at Black Rock,81 min,(1955),7.7,76,20925,none
162,The Lady Eve,94 min,(1941),7.8,96,20801,none
163,Adam's Rib,101 min,(1949),7.5,87,20739,none
164,The Killers,103 min,(1946),7.8,87,20624,none
165,I Confess,95 min,(1953),7.3,68,20464,none
166,The Postman Always Rings Twice,113 min,(1946),7.5,84,20185,8330000
167,Foreign Correspondent,115 min,(1940),7.5,88,20095,3484588
168,Kiss Me Deadly,106 min,(1955),7.6,88,19912,none
169,Los Olvidados,85 min,(1950),8.3,88,19720,none
170,Limelight,137 min,(1952),8.1,88,19675,1000000
171,Moby Dick,116 min,(1956),7.3,88,19509,10400000
172,Les Enfants du Paradis,189 min,(1945),8.4,96,19372,none
173,3:10 to Yuma,92 min,(1957),7.6,96,19279,none
174,Winchester '73,92 min,(1950),7.6,96,19272,none
175,Dark Passage,106 min,(1947),7.5,96,19119,none
176,The Ghost and Mrs. Muir,104 min,(1947),7.9,96,18225,none
177,Les Vacances de Monsieur Hulot,114 min,(1953),7.4,96,18061,none
178,I Vitelloni,109 min,(1953),7.9,87,17844,97944
179,Sergeant York,134 min,(1941),7.7,87,17773,16400000
180,House of Wax,88 min,(1953),7.1,87,17658,23750000
181,Fort Apache,128 min,(1948),7.5,87,17510,none
182,The Incredible Shrinking Man,81 min,(1957),7.6,73,17480,none
183,The Big Country,166 min,(1958),7.9,73,17393,none
184,A Star Is Born,154 min,(1954),7.6,89,17386,14933000
185,The Bishop's Wife,109 min,(1947),7.6,72,17378,none
186,Bud Abbott Lou Costello Meet Frankenstein,83 min,(1948),7.4,72,17201,4796000
187,Mrs. Miniver,134 min,(1942),7.6,72,17184,13500000
188,On the Town,98 min,(1949),7.4,71,17139,none
189,Guys and Dolls,150 min,(1955),7.2,77,17082,13000000
190,Johnny Guitar,110 min,(1954),7.6,83,17076,none
191,She Wore a Yellow Ribbon,104 min,(1949),7.3,83,17032,none
192,Journey to the Center of the Earth,129 min,(1959),7.0,83,17024,10000000
193,Monsieur Verdoux,124 min,(1947),7.9,83,17017,325000
194,Pillow Talk,102 min,(1959),7.4,73,16890,18750000
195,Detour,68 min,(1945),7.4,73,16823,16172
196,Animal Farm,72 min,(1954),7.2,73,16737,none
197,The Cranes Are Flying,95 min,(1957),8.3,73,16692,16990
198,Niagara,92 min,(1953),7.0,73,16600,none
199,Stray Dog,122 min,(1949),7.9,73,16575,none
200,"Now, Voyager",117 min,(1942),7.9,70,16454,none
201,Hamlet,154 min,(1948),7.6,82,16444,none
202,High Sierra,100 min,(1941),7.5,82,16420,none
203,Mister Roberts,123 min,(1955),7.7,72,16303,21200000
204,Late Spring,108 min,(1949),8.3,72,16275,none
205,Scarlet Street,102 min,(1945),7.8,72,16015,none
206,Sansho Dayu,124 min,(1954),8.4,72,15931,none
207,Gentleman's Agreement,118 min,(1947),7.3,72,15856,none
208,Imitation of Life,125 min,(1959),7.8,87,15815,13990819
209,The Wild One,79 min,(1953),6.8,87,15741,none
210,Rio Grande,105 min,(1950),7.1,87,15690,none
211,The Woman in the Window,107 min,(1944),7.7,87,15521,none
212,High Society,111 min,(1956),7.0,65,15413,13000000
213,The Heiress,115 min,(1949),8.2,65,15368,none
214,Gunfight at The O.K Corral,122 min,(1957),7.2,56,15282,11750000
215,Ordet,126 min,(1955),8.3,56,15231,none
216,A Face in the Crowd,126 min,(1957),8.2,72,15206,none
217,Yankee Doodle Dandy,126 min,(1942),7.7,89,15133,11800000
218,Love in the Afternoon,130 min,(1957),7.2,89,15109,none
219,Holiday Inn,100 min,(1942),7.4,89,15085,8175000
220,"Suddenly, Last Summer",114 min,(1959),7.6,54,15060,13897500
221,The Adventures of Ichabod and Mr. Toad,68 min,(1949),7.0,74,14934,none
222,A Night to Remember,114 min,(1958),7.9,74,14897,none
223,Quo Vadis,166 min,(1951),7.2,74,14732,24291740
224,The Defiant Ones,96 min,(1958),7.6,69,14627,none
225,All the King's Men,110 min,(1949),7.5,69,14542,none
226,And Then There Were None,97 min,(1945),7.5,69,14502,none
227,The Bad and the Beautiful,118 min,(1952),7.8,69,14487,none
228,The Life and Death of Colonel Blimp,163 min,(1943),8.1,69,14356,none
229,All That Heaven Allows,89 min,(1955),7.6,69,14305,none
230,Twelve O'Clock High,132 min,(1949),7.7,69,14262,none
231,Pickup on South Street,80 min,(1953),7.7,69,14141,none
232,The Greatest Show on Earth,152 min,(1952),6.6,69,14099,36000000
233,The Bad Seed,129 min,(1956),7.5,51,14032,none
234,The Vikings,116 min,(1958),7.1,51,13992,7000000
235,Operation Petticoat,124 min,(1959),7.3,51,13954,23300000
236,Summer with Monika,96 min,(1953),7.5,51,13937,none
237,The World of Apu,105 min,(1959),8.5,51,13917,16000
238,Monkey Business,97 min,(1952),7.0,51,13898,none
239,Stage Fright,110 min,(1950),7.1,51,13844,none
240,The Lavender Hill Mob,81 min,(1951),7.6,51,13840,none
241,The Three Caballeros,71 min,(1944),6.4,85,13582,none
242,Song of the South,94 min,(1946),7.1,54,13519,63717040
243,The Unvanquished,110 min,(1956),8.3,54,13384,170215
244,Smiles of a Summer Night,109 min,(1955),7.8,54,13325,none
245,Night of the Demon,95 min,(1957),7.5,54,13267,none
246,The Naked City,96 min,(1948),7.6,74,13217,none
247,Night and the City,101 min,(1950),7.9,74,13193,3600000
248,Meet John Doe,135 min,(1941),7.6,74,13187,none
249,Old Yeller,83 min,(1957),7.3,84,13065,21909000
